levelpath,head_huc12,outlet_huc12,trib_no_intersect,headwater_error,outlet_gnis,outlet_reachcode,head_gnis,head_reachcode
200017140,020802020402,020802020404,FALSE,FALSE,1487420,02080202000370,1487420,02080202000033
200030048,020802020403,020802020403,FALSE,FALSE,1484353,02080202000050,1484353,02080202000039
200017439,020802020503,020802020505,FALSE,FALSE,1485883,02080202000645,1482148,02080202000208
200047941,020802020502,020802020502,FALSE,FALSE,1487389,02080202000657,1487389,02080202000236
200027666,020802020504,020802020504,FALSE,FALSE,1482652,02080202000261,1482652,02080202000228
200024199,020802030102,020802030102,FALSE,FALSE,1486556,02080203002938,1486556,02080203000489
200017133,020802030201,020802030203,FALSE,FALSE,1486122,02080203002520,1486122,02080203000425
200022275,020802030302,020802030302,FALSE,FALSE,1467782,02080203000414,1467782,02080203000398
200022276,020802030303,020802030303,FALSE,FALSE,1478821,02080203000534,1478821,02080203000515
200020743,020802030304,020802030304,FALSE,FALSE,1478295,02080203001507,1478228,02080203000513
200027644,020802030306,020802030306,FALSE,FALSE,1462931,02080203001413,1462931,02080203000547
200005498,020802030404,020802030404,FALSE,FALSE,1477000,02080203000580, ,02080203002646
200025761,020802030406,020802030406,FALSE,FALSE,1463080,02080203000593,1463080,02080203000581
200012875,020802030501,020802030703,FALSE,FALSE,1481250,02080203002499,1487087,02080203000205
200030032,020802030503,020802030503,FALSE,FALSE,1483969,02080203000256,1483969,02080203000246
200019101,020802030505,020802030506,FALSE,FALSE,1487406,02080203000302,1486268,02080203000277
200013965,020802030601,020802030604,FALSE,FALSE,1485888,02080203002042,1482153,02080203000303
200034971,020802030603,020802030603,FALSE,FALSE,1473665,02080203000875,1473665,02080203000871
200026656,020802030702,020802030702,FALSE,FALSE,1486808,02080203000241,1486808,02080203000230
200022872,020802030801,020802030801,FALSE,FALSE,1465627,02080203000609,1465627,02080203000594
200011764,020802030901,020802031003,FALSE,FALSE,1488394,02080203002204,1486713,02080203000094
200023517,020802030902,020802030902,FALSE,FALSE,1487410,02080203000174,1487410,02080203000157
200033085,020802031001,020802031001,FALSE,FALSE,1465327,02080203002158,1465327,02080203000111
200026652,020802031103,020802031103,FALSE,FALSE,1475794,02080203000082,1475794,02080203000076
200015637,020802031202,020802031204,FALSE,FALSE,1474854,02080203000070,1467736,02080203000024
200028793,020802031201,020802031201,FALSE,FALSE,1471607,02080203002404,1471607,02080203000047
200013800,020802031301,020802031403,FALSE,FALSE,1474674,02080203000671,1474674,02080203000610
200028786,020802031302,020802031302,FALSE,FALSE,1470309,02080203001095,1471639,02080203000647
200028787,020802031304,020802031304,FALSE,FALSE,1476295,02080203000640,1476295,02080203000629
200010622,020802040101,020802040504,FALSE,FALSE,1485346,02080204000142,1473261,02080204000001
200031437,020802040402,020802040402,FALSE,FALSE,1479119,02080204000511,1479119,02080204000148
200031440,020802040103,020802040105,FALSE,FALSE,1471612,02080204000628,1470724,02080204000111
200034950,020802040104,020802040104,FALSE,FALSE,1465934,02080204000442,1465934,02080204000113
200034951,020802040201,020802040201,FALSE,FALSE,1471238,02080204000226,1463993,02080204000103
200033054,020802040202,020802040202,FALSE,FALSE,1468552,02080204000147,1468552,02080204004565
200022273,020802040301,020802040305,FALSE,FALSE,1473281,02080204000253,1471617,02080204000076
200031441,020802040302,020802040302,FALSE,FALSE,1475390,02080204000091,1475390,02080204000086
200034952,020802040304,020802040304,FALSE,FALSE,1472765,02080204000241,1472765,02080204000235
200028764,020802040403,020802040403,FALSE,FALSE,1463986,02080204000539,1463986,02080204000164
200024193,020802040405,020802040405,FALSE,FALSE,1470335,02080204000329,1470335,02080204000031
200030009,020802040502,020802040502,FALSE,FALSE,1470403,02080204000586,1470403,02080204000172
200033049,020802040503,020802040503,FALSE,FALSE,1462745,02080204000297,1462745,02080204000011
200016856,020802050101,020802050103,FALSE,FALSE,1474233,02080205001010, ,02080205001328
200010339,020802050201,020802050303,FALSE,FALSE,1476786,02080205000864,1476786,02080205000428
200023497,020802050203,020802050203,FALSE,FALSE,1469688,02080205000189, ,02080205000172
200029996,020802050205,020802050205,FALSE,FALSE,1467821,02080205000338,1467821,02080205000330
200025742,020802050302,020802050302,FALSE,FALSE,1472962,02080205000159,1472962,02080205000150
200023499,020802050402,020802050402,FALSE,FALSE,1471225,02080205000210,1471225,02080205000194
200018050,020802050404,020802050405,FALSE,FALSE,1465701,02080205000236,1465701,02080205000211
200019865,020802050502,020802050502,FALSE,FALSE,1469583,02080205001110,1469583,02080205000068
200017739,020802050503,020802050503,FALSE,FALSE,1463376,02080205001094,1463376,02080205000047
200026635,020802050505,020802050505,FALSE,FALSE,1462955,02080205000265,1462955,02080205000255
200021731,020802050602,020802050602,FALSE,FALSE,1468838,02080205000557,1471675,02080205000610
200004710,020802050605,020802050605,FALSE,FALSE,1475906,02080205000026,1475906,02080205001271
200019393,020802060102,020802060102,FALSE,FALSE,1466453,02080206001657,1466453,02080206000164
200024794,020802060104,020802060104,FALSE,FALSE,1462682,02080206000939,1462682,02080206000935
200034526,020802060105,020802060105,FALSE,FALSE,1479770,02080206000994,1479770,02080206000979
200022754,020802060202,020802060202,FALSE,FALSE,1472734,02080206000195,1472734,02080206000183
200023381,020802060203,020802060203,FALSE,FALSE,1479853,02080206001022, ,02080206001007
200004509,020802060204,020802060204,FALSE,FALSE,1478429,02080206001057, ,02080206001041
200024791,020802060301,020802060301,FALSE,FALSE,1476313,02080206000207,1476313,02080206000196
200019395,020802060303,020802060303,FALSE,FALSE,1476107,02080206000695,1476107,02080206000660
200008057,020802060401,020802060605,FALSE,FALSE,1478374,02080206000118,1478374,02080206001777
200024066,020802060503,020802060503,FALSE,FALSE,1476624,02080206000429,1476624,02080206000417
200018624,020802060403,020802060403,FALSE,FALSE,1476104,02080206001260,1476104,02080206002540
200022750,020802060602,020802060603,FALSE,FALSE,1465759,02080206000075,1465759,02080206000063
200025575,020802060702,020802060702,FALSE,FALSE,1478989,02080206000050,1479375,02080206000042
200027425,020802060703,020802060703,FALSE,FALSE,1467411,02080206000214,1467411,02080206000209
200029732,020802060801,020802060801,FALSE,FALSE,1478405,02080206001515,1478405,02080206001512
200028509,020802060803,020802060803,FALSE,FALSE,1472606,02080206000218, ,02080206001788
200019026,020802060901,020802060901,FALSE,FALSE,1462771,02080206000029, ,02080206001826
200019394,020802060902,020802060904,FALSE,FALSE,1474265,02080206000232, ,02080206001894
200025579,020802060903,020802060903,FALSE,FALSE,1465560,02080206000332,1465560,02080206000328
200022171,020802060905,020802060905,FALSE,FALSE,1478386,02080206000245,1478386,02080206001850
200013311,020802070102,020802070103,FALSE,FALSE,1464038,02080207000309, ,02080207001365
200025720,020802070101,020802070101,FALSE,FALSE,1471585,02080207000683,1474989,02080207000283
200006737,020802070201,020802071002,FALSE,FALSE,1501617,02080207002122, ,02080206001765
200018721,020802070804,020802070804,FALSE,FALSE,1471315,02080207000524, ,02080207010702
200034899,020802070802,020802070802,FALSE,FALSE,1476873,02080207000811,1476873,02080207010719
200024177,020802070404,020802070404,FALSE,FALSE,1469556,02080207002173,1463354,02080207000160
200027610,020802070204,020802070204,FALSE,FALSE,1476161,02080207000264,1476161,02080207000251
200019083,020802070302,020802070305,FALSE,FALSE,1464165,02080207000358,1464165,02080207000310
200020278,020802070301,020802070301,FALSE,FALSE,1463823,02080207000336,1463823,02080207000313
200037112,020802070303,020802070303,FALSE,FALSE,1471167,02080207000666,1471167,02080207000659
200031399,020802070401,020802070401,FALSE,FALSE,1474087,02080207000732,1474087,02080207000724
200047642,020802070406,020802070406,FALSE,FALSE,1475167,02080207000780,1475167,02080207000777
200013466,020802070501,020802070504,FALSE,FALSE,1466649,02080207000418,1466649,02080207000373
200031412,020802070503,020802070503,FALSE,FALSE,1471581,02080207000428,1471533,02080207000419
200034912,020802070602,020802070602,FALSE,FALSE,1474273,02080207000750,1474273,02080207000676
200014451,020802070701,020802070705,FALSE,FALSE,1465703,02080207001758,1465703,02080207000429
200025732,020802070702,020802070702,FALSE,FALSE,1464660,02080207000496,1464660,02080207001825
200018374,020802070703,020802070703,FALSE,FALSE,1476476,02080207000480,1476476,02080207000455
200031403,020802070805,020802070805,FALSE,FALSE,1476567,02080207000805, ,02080207010692
200006809,020802070901,020802070904,FALSE,FALSE,1479701,02080207000045, ,02080207002180
200026618,020802070903,020802070903,FALSE,FALSE,1469413,02080207002048,1469413,02080207000733
200028527,020802080101,020802080101,FALSE,FALSE,1480053,02080208000048, ,02080208001326
200012706,020802080102,020802080106,FALSE,FALSE,1478403,02080208000151, ,02080208000004
200022765,020802080103,020802080103,FALSE,FALSE, ,02080208000564, ,02080208001286
200018328,020802080104,020802080104,FALSE,FALSE,1467450,02080208000532,1479860,02080208000018
200019398,020802080302,020802080302,FALSE,FALSE,1491087,02080208000859,1491087,02080208000281
200014261,020802080201,020802080206,FALSE,FALSE,1480082,02080208000311,1478549,02080208000268
200015839,020802080204,020802080204,FALSE,FALSE,1478529,02080208000291,1478529,02080208000948
200018669,020802080205,020802080205,FALSE,FALSE,1478668,02080208000341,1479858,02080208000959
200042715,020802080301,020802080301,FALSE,FALSE,1478766,02080208000359,1478766,02080208000357
430092758,051401010805,051401010805,FALSE,FALSE,432063,05140101000500,432063,05140101000186
430071299,051302060202,051302060202,FALSE,FALSE,507134,05130206000765,507134,05130206000763
430092713,051302060101,051302060101,FALSE,FALSE,1295271,05130206000771,1295271,05130206000770
430071280,051302060304,051302060304,FALSE,FALSE,506041,05130206000274,506041,05130206000272
430092656,051302060601,051302060601,FALSE,FALSE,501721,05130206000779,501721,05130206000778
430092655,051302060603,051302060603,FALSE,FALSE,491156,05130206000795,491156,05130206000794
200072407,020801110501,020801110501,FALSE,FALSE,1468581,02080111015338,1468581,02080111015337
200039341,020801110402,020801110402,FALSE,FALSE,1468128,02080111015080,1468128,02080111015333
200029730,020801110601,020801110601,FALSE,FALSE,1470378,02080111015332,1470378,02080111015340
200039340,020801110601,020801110601,FALSE,FALSE,1464561,02080111015095,1464561,02080111015094
200039339,020801110602,020801110602,FALSE,FALSE,1471226,02080111015107,1471226,02080111015103
200042603,020801110602,020801110602,FALSE,FALSE,1467587,02080111015119, ,02080111015113
200046742,020801110602,020801110602,FALSE,FALSE, ,02080111015328,1466844,02080111015126
200052256,020801110602,020801110602,FALSE,FALSE,1469457,02080111015130,1469457,02080111015129
200042602,020801110602,020801110602,FALSE,FALSE,1462675,02080111015136,1462675,02080111015132
200024783,020801110702,020801110702,FALSE,FALSE,1465857,02080111015347,1465857,02080111015146
200031111,020801110602,020801110602,FALSE,FALSE,1469268,02080111015141,1468398,02080111015360
200034512,020801110702,020801110702,FALSE,FALSE,1465702,02080111015154,1465702,02080111015149
200060168,020801110703,020801110703,FALSE,FALSE,1464797,02080111015160,1464797,02080111015159
200060162,020801110801,020801110801,FALSE,FALSE,1470180,02080111015172,1470180,02080111015172
200024059,020801110803,020801110803,FALSE,FALSE,1471804,02080111015225,1471804,02080111015293
200004290,020801110801,020801110801,FALSE,FALSE,1477906,02080111015197,1477906,02080111015197
200032672,020801110801,020801110801,FALSE,FALSE,1472868,02080111015182,1472868,02080111015174
200046732,020801110801,020801110801,FALSE,FALSE,1475479,02080111015291,1475479,02080111015173
200004289,020801110703,020801110703,FALSE,FALSE,1462648,02080111015348,1462648,02080111015348
200027411,020801110802,020801110802,FALSE,FALSE,1471318,02080111015200,1471318,02080111015352
200036681,020801110802,020801110802,FALSE,FALSE,1465387,02080111015302,1465387,02080111015355
200060146,020801110902,020801110902,FALSE,FALSE,1471829,02080111015257,1471829,02080111015256
200060144,020801110902,020801110902,FALSE,FALSE,1477912,02080111015264,1477912,02080111015263
200034505,020801110804,020801110804,FALSE,FALSE,1471329,02080111015240,1471329,02080111015357
200036679,020801110901,020801110901,FALSE,FALSE,1502796,02080111015250,1502796,02080111015249
200052238,020801110902,020801110902,FALSE,FALSE,1466382,02080111015262,1466382,02080111015260
200052236,020801110902,020801110902,FALSE,FALSE,1472594,02080111015278,1472594,02080111015276
200060135,020801110902,020801110902,FALSE,FALSE,1469017,02080111015268,1469017,02080111015268
200034504,020801110902,020801110902,FALSE,FALSE,1471862,02080111015270,1471862,02080111015358
200042593,020801110902,020801110902,FALSE,FALSE,1502789,02080111015274,1502789,02080111015273
200004287,020801110902,020801110902,FALSE,FALSE,1470503,02080111015267,1470503,02080111015267
200028487,020801110703,020801110703,FALSE,FALSE,1471582,02080111015166,1471923,02080111015349
270005099,030902050102,031001030300,FALSE,FALSE, ,03090205030522,307451,03100103010394
270022124,030902050205,030902050205,FALSE,FALSE, ,03090205003458, ,03090205003458
270014875,030902050302,030902050302,FALSE,FALSE,281191,03090205000723,281191,03090205004088
270013286,030902050403,030902050403,FALSE,FALSE,284664,03090205003525,284664,03090205004130
270026695,031001011004,031001011004,FALSE,FALSE, ,03100101027392, ,03090205003405
270025414,030902050501,030902050501,FALSE,FALSE, ,03090205030454, ,03090205000520
270020593,030902050502,030902050502,FALSE,FALSE,292095,03090205004090,292095,03090205004041
270014011,030902050601,030902050601,FALSE,FALSE,292468,03090205000434,292468,03090205003439
270015999,030902050602,030902050602,FALSE,FALSE,289191,03090205004575,289191,03090205003865
270022119,030902050603,030902050603,FALSE,FALSE, ,03090205003421, ,03090205003419
270005367,030902050604,030902050605,FALSE,FALSE,288225,03090205004112,288225,03090205000011
290078652,031200011103,031200011103,FALSE,FALSE,291790,03120001000259,291790,03120001000256
290026002,031200010302,031200010302,FALSE,FALSE,278889,03120001000082, ,03120001000153
290016424,031200010401,031200010404,FALSE,FALSE, ,03120001000119, ,03120001008962
290027962,031200010403,031200010403,FALSE,FALSE, ,03120001000659, ,03120001008960
290030944,031200010501,031200010501,FALSE,FALSE,279713,03120001000266,279713,03120001000261
290011329,031200010502,031200011002,FALSE,FALSE,290295,03120001000236,290295,03120001000056
290078632,031200010605,031200010605,FALSE,FALSE,306015,03120001000224,306015,03120001000224
290050407,031200010704,031200011001,FALSE,FALSE,306551,03120001000058,306551,03120001000058
290001603,031200010903,031200010903,FALSE,FALSE,306403,03120001000464,306403,03120001000464
290022658,031200010801,031200010901,FALSE,FALSE,305987,03120001000415,306436,03120001000620
290033206,031200010902,031200010902,FALSE,FALSE,306557,03120001001208,306557,03120001000489
290035960,031200010902,031200010902,FALSE,FALSE,306381,03120001000515,306577,03120001000505
290001601,031200010902,031200010902,FALSE,FALSE,286787,03120001000518,286787,03120001000518
290060284,031200010902,031200010902,FALSE,FALSE,281981,03120001000520,281981,03120001000519
290039421,031200011003,031200011003,FALSE,FALSE, ,03120001000553, ,03120001000545
290050397,031200011102,031200011102,FALSE,FALSE, ,03120001000210, ,03120001000566
290060274,031200011102,031200011102,FALSE,FALSE,285766,03120001000577,285766,03120001000576
290060273,031200011102,031200011102,FALSE,FALSE,285699,03120001000580,285699,03120001000579
290001599,031200011102,031200011102,FALSE,FALSE,283463,03120001000582,283463,03120001000582
290030942,031200011103,031200011103,FALSE,FALSE, ,03120001000251,288973,03120001000586
290039418,031200011103,031200011103,FALSE,FALSE,288342,03120001000254,288342,03120001000591
290001598,031200011102,031200011102,FALSE,FALSE,278940,03120001000592,278940,03120001000592
290030941,031200010601,031200010603,FALSE,FALSE,306092,03120001000645,306092,03120001000593
800030783,160202010109,160202010109,FALSE,FALSE,1443549,16020201000737,1443549,16020201000130
800030782,160202010107,160202010107,FALSE,FALSE, ,16020201000134, ,16020201000135
290004685,031200031001,031200031101,FALSE,FALSE,306574,03120003000983,308413,03120003000002
290118839,031200031003,031200031003,FALSE,FALSE,306055,03120003000282,306055,03120003000282
290043942,031200031102,031200031102,FALSE,FALSE,305401,03120003001182,305401,03120003001108
290011181,031200030201,031200030802,FALSE,FALSE,277988,03120003000128,305971,03120003001781
290023842,031200020801,031200020801,FALSE,FALSE,311909,03120002000360,311909,03120002000377
290020434,031200020105,031200020105,FALSE,FALSE,317042,03120002000112,317042,03120002000099
290012942,031200020201,031200020203,FALSE,FALSE,311785,03120002000148,311785,03120002000113
290019776,031200020302,031200020303,FALSE,FALSE,311362,03120002000343,311362,03120002000327
290011355,031200020401,031200020405,FALSE,FALSE,317132,03120002000181,317132,03120002000149
290021956,031200020404,031200020404,FALSE,FALSE,354711,03120002000352,354711,03120002000189
290029393,031200020403,031200020403,FALSE,FALSE,317415,03120002000188,317415,03120002000182
290015314,031200020502,031200020504,FALSE,FALSE,354466,03120002000229,354466,03120002000194
290018588,031200020503,031200020503,FALSE,FALSE,313769,03120002000220,313769,03120002000203
290021953,031200020501,031200020501,FALSE,FALSE,325038,03120002000244,325038,03120002000230
290027700,031200020601,031200020601,FALSE,FALSE,320087,03120002000397,320087,03120002001326
290013637,031200020701,031200020706,FALSE,FALSE,311467,03120002001253,324195,03120002000245
290029382,031200020705,031200020705,FALSE,FALSE,324387,03120002000295,324387,03120002000287
290027695,031200020702,031200020702,FALSE,FALSE,325499,03120002000444,325499,03120002000436
290019772,031200020704,031200020704,FALSE,FALSE,317223,03120002000269,317223,03120002000255
290033199,031200030101,031200030101,FALSE,FALSE,311941,03120003000867,311941,03120003000058
290035942,031200030103,031200030103,FALSE,FALSE, ,03120003001027, ,03120003001823
290018486,031200030104,031200030105,FALSE,FALSE, ,03120003000836, ,03120003000821
290027398,031200030203,031200030203,FALSE,FALSE,356360,03120003000352,356360,03120003000344
290019640,031200030204,031200030205,FALSE,FALSE,291920,03120003000104,291920,03120003000087
290019639,031200030206,031200030207,FALSE,FALSE,294196,03120003000144,294196,03120003000129
290016663,031200030301,031200030301,FALSE,FALSE, ,03120003001002, ,03120003000804
290022654,031200030401,031200030402,FALSE,FALSE,289405,03120003000311,289405,03120003000300
290019635,031200030501,031200030502,FALSE,FALSE,306302,03120003000157, ,03120003001786
290009699,031200030601,031200030705,FALSE,FALSE,306487,03120003001026,306487,03120003000176
290039385,031200030703,031200030703,FALSE,FALSE,305291,03120003001025,305291,03120003000443
290027389,031200031201,031200031201,FALSE,FALSE,306576,03120003000323,306458,03120003001066
290060141,031200031203,031200031203,FALSE,FALSE,305371,03120003000409,305371,03120003001121
290011180,031300130401,031300130402,FALSE,FALSE,305526,03130013000008,305526,03120003000401
290060143,031300130401,031300130401,FALSE,FALSE,306507,03120003000412,306507,03120003000411
290043944,031200031204,031200031204,FALSE,FALSE, ,03120003001116,295768,03120003000397
800054884,160202040206,160202040206,FALSE,FALSE,1425297,16020204000287,1425297,16020204000287
800030705,160202040107,160202040107,FALSE,FALSE,1438757,16020204000327,1434312,16020204000676
800020585,160202010103,160202010103,FALSE,FALSE, ,16020201000071, ,16020201000062
800012010,160202010104,160202010106,FALSE,FALSE,1442524,16020201000399, ,16020201000751
800006504,160202010107,160202010204,FALSE,FALSE, ,16020201000804, ,16020201004532
800013632,160202010201,160202010202,FALSE,FALSE,1429347,16020201000740, ,16020201000049
800012160,160202010301,160202010302,FALSE,FALSE, ,16020201005360, ,16020201005328
800045187,160202010108,160202010108,FALSE,FALSE, ,16020201000380, ,16020201005344
800055159,160202010500,160202010500,FALSE,FALSE,1443471,16020201005371, ,16020201004492
800024508,160202010601,160202010601,FALSE,FALSE, ,16020201000569, ,16020201004478
800015006,160202010602,160202010602,FALSE,FALSE, ,16020201000774, ,16020201000752
800015007,160202010701,160202010702,FALSE,FALSE, ,16020201000080, ,16020201000170
800008657,160202010801,160202010803,FALSE,FALSE, ,16020201000030, ,16020201004474
800027191,160202010804,160202010804,FALSE,FALSE, ,16020201000546, ,16020201004512
800011561,160202011001,160202011001,FALSE,FALSE, ,16020201000044, ,16020201004470
800019082,160202020101,160202020101,FALSE,FALSE,1446101,16020202000614,1446101,16020202000066
800002347,160202020102,160202040405,FALSE,FALSE,1445768,16020202000080,1442221,16020204000441
800014267,160202040106,160202040106,FALSE,FALSE,1425582,16020204000290,1425582,16020204000639
800035620,160202020104,160202020104,FALSE,FALSE,1442516,16020202000596,1443444,16020202000594
800017836,160202020103,160202020103,FALSE,FALSE,1446595,16020202000252,1446595,16020202000243
800019084,160202020106,160202020106,FALSE,FALSE,1440834,16020202000045,1442405,16020202000035
800024488,160202020201,160202020201,FALSE,FALSE, ,16020202000537, ,16020202000525
800009746,160202020202,160202020205,FALSE,FALSE,1443940,16020202000547,1446534,16020202000024
800022350,160202020203,160202020203,FALSE,FALSE,1443777,16020202000507,1443777,16020202000170
800019087,160202020301,160202020303,FALSE,FALSE,1445630,16020202000746, ,16020202000212
800027176,160202020302,160202020302,FALSE,FALSE,1441066,16020202000719, ,16020202000713
800006918,160202020304,160202020307,FALSE,FALSE,1445539,16020202000122,1440445,16020202000081
800015810,160202020305,160202020305,FALSE,FALSE, ,16020202000819, ,16020202000800
800024494,160202020503,160202020503,FALSE,FALSE, ,16020202000457, ,16020202000446
800007634,160202020401,160202020405,FALSE,FALSE,1442502,16020202000169, ,16020201004511
800011559,160202020402,160202020404,FALSE,FALSE,1444924,16020202000327,1444924,16020202000129
800004540,160202020603,160202020604,FALSE,FALSE,1438568,16020202000197, ,16020201004482
800013626,160202020602,160202020602,FALSE,FALSE,1446014,16020202000879,1446014,16020202000869
800027160,160202030101,160202030101,FALSE,FALSE,1445759,16020203000352,1445759,16020203000094
800003980,160202030102,160202030505,FALSE,FALSE,1444668,16020203000699, ,16020201004497
800017828,160202030502,160202030502,FALSE,FALSE,1443355,16020203000147,1445869,16020203000136
800016752,160202030104,160202030104,FALSE,FALSE,1445870,16020203000334, ,16020203000084
800020571,160202030103,160202030103,FALSE,FALSE, ,16020203000516,1443929,16020203000116
800027155,160202030301,160202030301,FALSE,FALSE,1427472,16020203000107,1427472,16020203000103
800005923,160202030302,160202030302,FALSE,FALSE,1446018,16020203000268,1446018,16020203000561
800006033,160202030303,160202030303,FALSE,FALSE,1425012,16020203000057, ,16020203000591
800020568,160202030305,160202030305,FALSE,FALSE,1445725,16020203000408,1445725,16020203000099
800005636,160202030401,160202030401,FALSE,FALSE,1440258,16020203000045, ,16020203003136
800022340,160202030402,160202030402,FALSE,FALSE,1444930,16020203000126,1442726,16020203000121
800013032,160202030403,160202030404,FALSE,FALSE,1443101,16020203000031, ,16020203003140
800020567,160202030501,160202030501,FALSE,FALSE,1444665,16020203000083,1444665,16020203000075
800015797,160202040103,160202040104,FALSE,FALSE,1426233,16020204000673, ,16020204000291
800002885,160202040101,160202040101,FALSE,FALSE,1431996,16020204000019, ,16020204000905
800008651,160202040201,160202040205,FALSE,FALSE,1438647,16020204000039,1438647,16020204000022
800013617,160202040202,160202040204,FALSE,FALSE,1442684,16020204000072,1442684,16020204000677
